Ticker,Key,Climate/Clean Tech,Pollution/Toxics,Environment/Other,Community Development,Diversity & EEO,Human Rights,Labor Relations,Conflict Risk,Board Issues,Executive Pay,E,E,E,E,E,E,E
CTTLX,Calvert Tax-Free Bond Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CTTCX,Calvert Tax-Free Bond Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CTTIX,Calvert Tax-Free Bond Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CSXAX,Calvert U.S. Large Cap Core Responsible Index Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CSXCX,Calvert U.S. Large Cap Core Responsible Index Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CISIX,Calvert U.S. Large Cap Core Responsible Index Fund I,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R,,
CGJAX,Calvert U.S. Large Cap Growth Responsible Index Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CGJIX,Calvert U.S. Large Cap Growth Responsible Index Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CFJAX,Calvert U.S. Large Cap Value Responsible Index Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CFJIX,Calvert U.S. Large Cap Value Responsible Index Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CULAX,Calvert Ultra-Short Income Fund A,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R,--,--
CULIX,Calvert Ultra-Short Income Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CUBAX,Calvert Unconstrained Bond Fund A,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CUBCX,Calvert Unconstrained Bond Fund C,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
CUBIX,Calvert Unconstrained Bond Fund I,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,--,--
